,NAME,NO. OF SHARES,%¹
1,TEMASEK HOLDINGS (PRIVATE) LIMITED,"1,680,704,140",40.37
2,CITIBANK NOMINEES SINGAPORE PTE LTD,"619,812,122",14.89
3,DBSN SERVICES PTE LTD,"430,500,108",10.34
4,DBS NOMINEES PTE LTD,"407,305,998",9.78
5,HSBC (SINGAPORE) NOMINEES PTE LTD,"231,957,347",5.57
6,RAFFLES NOMINEES (PTE) LIMITED,"66,805,980",1.61
7,BPSS NOMINEES SINGAPORE (PTE.) LTD.,"38,992,148",0.94
8,UNITED OVERSEAS BANK NOMINEES PRIVATE LIMITED,"38,160,922",0.92
9,PHILLIP SECURITIES PTE LTD,"18,337,713",0.44
10,PEI HWA FOUNDATION LIMITED,"12,757,635",0.31
11,OCBC NOMINEES SINGAPORE PRIVATE LIMITED,,"12,648,192                   0.30"
12,MERRILL LYNCH (SINGAPORE) PTE LTD,"11,919,496",0.29
13,OCBC SECURITIES PRIVATE LIMITED,"8,208,558",0.20
14,BNP PARIBAS NOMINEES SINGAPORE PTE LTD,"7,121,212",0.17
15,DB NOMINEES (SINGAPORE) PTE LTD,"6,826,560",0.16
16,UOB KAY HIAN PRIVATE LIMITED,"5,861,125",0.14
17,MAYBANK KIM ENG SECURITIES PTE LTD,"5,280,626",0.13
18,DBS VICKERS SECURITIES (SINGAPORE) PTE LTD,"5,225,171",0.13
19,MORGAN STANLEY ASIA (SINGAPORE) SECURITIES PTE LTD,"3,908,702",0.09
20,NANYANG GUM BENJAMIN MANUFACTURING (PTE) LTD,"3,410,000",0.08
,TOTAL,"3,615,743,755",86.86
