NO.,NAME,,,UNITS,%
1,DBS NOMINEES (PRIVATE) LIMITED,,,"201,666,706",20.57
2,RETAIL CROWN PTE. LTD.,,,"192,214,529",19.60
3,HSBC (SINGAPORE) NOMINEES PTE LTD,,,"166,321,984",16.96
4,CITIBANK NOMINEES SINGAPORE PTE LTD,,,"108,681,796",11.08
5,CAPITALAND RETAIL CHINA TRUST MANAGEMENT LIMITED,,,"52,324,802",5.34
6,DBSN SERVICES PTE. LTD.,,,"36,941,519",3.77
7,RAFFLES NOMINEES (PTE.) LIMITED,,,"28,142,630",2.87
8,DBS VICKERS SECURITIES (SINGAPORE) PTE LTD,,,"12,261,963",1.25
9,UOB KAY HIAN PRIVATE LIMITED,,,"10,492,353",1.07
10,MORGAN STANLEY ASIA (SINGAPORE) SECURITIES PTE LTD,,,"8,566,043",0.87
11,DB NOMINEES (SINGAPORE) PTE LTD,,,"4,677,905",0.48
12,UNITED OVERSEAS BANK NOMINEES (PRIVATE) LIMITED,,,"4,281,869",0.44
13,BPSS NOMINEES SINGAPORE (PTE.) LTD.,,,"3,620,666",0.37
14,OCBC SECURITIES PRIVATE LIMITED,,,"3,450,871",0.35
15,OCBC NOMINEES SINGAPORE PRIVATE LIMITED,,,"2,699,049",0.28
16,MAYBANK KIM ENG SECURITIES PTE. LTD.,,,"2,609,140",0.27
17,PHILLIP SECURITIES PTE LTD,,,"2,539,013",0.26
18,CGS-CIMB SECURITIES (SINGAPORE) PTE. LTD.,,,"2,513,067",0.26
19,HENG SIEW ENG,,,"2,451,201",0.25
20,YAP CHONG HIN GABRIEL,,,"1,660,000",0.17
,TOTAL,,,"848,117,106",86.51
