NO.,NAME OF SHAREHOLDER,,,SHARES,%
1,CITIBANK NOMINEES SINGAPORE PTE LTD,,,"504,582,950",54.36
2,DBS NOMINEES PTE LTD,,,"27,325,566",2.94
3,PEH KWEE CHIM,,,"19,379,000",2.09
4,DBS VICKERS SECURITIES (SINGAPORE) PTE LTD,,,"19,358,100",2.09
5,UNITED OVERSEAS BANK NOMINEES PTE LTD,,,"15,597,000",1.68
6,OCBC NOMINEES SINGAPORE PTE LTD,,,"7,478,900",0.81
7,MORPH INVESTMENTS LTD,,,"5,280,000",0.57
8,TEO CHENG TUAN DONALD,,,"4,000,000",0.43
9,LIM MENG KONG,,,"3,824,500",0.41
10,RAFFLES NOMINEES (PTE) LTD,,,"3,738,900",0.40
11,OCBC SECURITIES PRIVATE LTD,,,"3,386,000",0.36
12,LEONG HEIN HAK,,,"3,250,000",0.35
13,MAYBANK KIM ENG SECURITIES PTE LTD,,,"3,054,600",0.33
14,NG THIN ONN TONY,,,"3,000,000",0.32
15,PHILLIP SECURITIES PTE LTD,,,"2,644,700",0.28
16,SEE BENG LIAN JANICE,,,"2,617,100",0.28
17,BOH YUN MEI,,,"2,600,000",0.28
18,SEAH KIOK LENG,,,"2,210,000",0.24
19,UOB KAY HIAN PTE LTD,,,"2,163,000",0.23
20,LOA SZE PIN,,,"2,150,000",0.23
,TOTAL:,,,"637,640,316",68.68
