NO.,SHAREHOLDER'S NAME,,NO. OF SHARES HELD,%*
1,DBS NOMINEES PTE LTD,,"880,699,313",30.24
2,UNITED OVERSEAS BANK NOMINEES PTE LTD,,"860,567,122",29.55
3,INTERBEV INVESTMENT LIMITED,,"824,847,644",28.33
4,CITIBANK NOMINEES SINGAPORE PTE LTD,,"96,706,930",3.32
5,DBS VICKERS SECURITIES (SINGAPORE) PTE LTD,,"22,714,610",0.78
6,RAFFLES NOMINEES (PTE) LTD,,"13,095,182",0.45
7,UOB KAY HIAN PTE LTD,,"12,314,721",0.42
8,THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED,,"8,728,700",0.30
9,LIM EE SENG,,"4,788,729",0.16
10,DBSN SERVICES PTE LTD,,"4,645,402",0.16
11,PHAY THONG HUAT PTE LTD,,"3,618,000",0.12
12,THE TITULAR ROMAN CATHOLIC ARCHBISHOP OF KUALA LUMPUR,,"2,013,440",0.07
13,DB NOMINEES (SINGAPORE) PTE LTD,,"1,997,030",0.07
14,PHILLIP SECURITIES PTE LTD,,"1,959,196",0.07
15,CHOO MEILEEN,,"1,812,130",0.06
16,OCBC SECURITIES PRIVATE LTD,,"1,803,480",0.06
17,CHEE SWEE CHENG & CO PTE LTD,,"1,693,220",0.06
18,OCBC NOMINEES SINGAPORE PTE LTD,,"1,595,920",0.05
19,CGS-CIMB SECURITIES (SINGAPORE) PTE LTD,,"1,313,205",0.05
20,MAYBANK KIM ENG SECURITIES PTE. LTD.,,"1,281,720",0.04
TOTAL,,,"2,748,195,694",94.37
NOTE,,,,
*,"PERCENTAGE IS BASED ON 2,912,026,619 SHARES AS AT 10 DECEMBER 2018. THERE ARE NO TREASURY SHARES AS AT 10 DECEMBER 2018.",,,
