,,,,,NO.,NAME OF SHAREHOLDERS,HELD,%
VOTING RIGHTS,:,ONE VOTE PER SHARE,,,,,,
NUMBER OF SUBSIDIARY HOLDINGS HELD,:,NIL,,,,,,
,,,,,1,HSBC (SINGAPORE) NOMINEES PTE LTD,"60,000,000",14.55
TREASURY SHARES,:,"25,540,900",,,,,,
,,,,,2,KOH KENG HIONG,"55,260,100",13.40
DISTRIBUTION OF SHAREHOLDINGS,,,,,3,KOH TEAK HUAT,"32,213,088",7.81
,NO. OF,,,,4,KOH KENG SIANG,"29,622,535",7.18
SIZE OF SHAREHOLDINGS,SHAREHOLDERS,%,NO. OF SHARES,%,,,,
,,,,,5,QUEK CHEE NEE,"25,896,814",6.28
"1
-
99",5,0.06,174,0.00,,,,
,,,,,6,KOH KHENG HOW,"16,205,800",3.93
"100
-
1,000",110,1.22,"84,385",0.02,,,,
,,,,,7,MORPH INVESTMENTS LTD,"15,073,000",3.65
"1,001
-
10,000","6,932",76.89,"31,740,226",7.70,,,,
,,,,,8,KOH TIAT MENG,"8,908,654",2.16
"10,001
-
1,000,000","1,944",21.56,"89,791,890",21.77,,,,
,,,,,9,PHILLIP SECURITIES PTE LTD,"5,995,900",1.45
"1,000,001 AND ABOVE",24,0.27,"290,842,425",70.51,,,,
,,,,,10,CITIBANK NOMINEES SINGAPORE PTE LTD,"5,863,100",1.42
TOTAL,"9,015",100.00,"412,459,100",100.00,,,,
,,,,,11,DBS NOMINEES PTE LTD,"5,199,100",1.26
,,,,,12,OCBC SECURITIES PRIVATE LTD,"4,474,184",1.08
,,,,,13,LOH WING WAH,"4,113,000",1.00
,,,,,14,UNITED OVERSEAS BANK NOMINEES PTE LTD,"3,292,100",0.80
,,,,,15,TAN THIAN HWEE,"2,576,600",0.62
,,,,,16,CGS-CIMB SECURITIES (SINGAPORE) PTE LTD,"2,559,050",0.62
,,,,,17,KOH TIAK CHYE,"2,422,600",0.59
,,,,,18,TAN NOI SOON,"2,400,000",0.58
,,,,,19,OCBC NOMINEES SINGAPORE PTE LTD,"2,129,100",0.52
,,,,,20,UOB KAY HIAN PTE LTD,"1,548,600",0.38
,,,,,TOTAL:,,"285,753,325",69.28
