NO.,NAME,NO. OF UNITS,%
1.,MAPLETREE DEXTRA PTE. LTD.,"608,398,214",32.26
2.,CITIBANK NOMINEES SINGAPORE PTE LTD,"327,548,935",17.37
3.,DBS NOMINEES (PRIVATE) LIMITED,"253,211,471",13.43
4.,HSBC (SINGAPORE) NOMINEES PTE LTD,"196,760,192",10.43
5.,DBSN SERVICES PTE. LTD.,"108,292,886",5.74
6.,RAFFLES NOMINEES (PTE.) LIMITED,"86,182,377",4.57
7.,UNITED OVERSEAS BANK NOMINEES (PRIVATE) LIMITED,"19,416,292",1.03
8.,DB NOMINEES (SINGAPORE) PTE LTD,"13,500,267",0.72
9.,MAPLETREE INDUSTRIAL TRUST MANAGEMENT LTD.,"10,217,940",0.54
10.,DBS VICKERS SECURITIES (SINGAPORE) PTE LTD,"8,271,847",0.44
11.,BNP PARIBAS NOMINEES SINGAPORE PTE LTD,"4,566,982",0.24
12.,ABN AMRO CLEARING BANK N.V.,"3,380,741",0.18
13.,OCBC NOMINEES SINGAPORE PRIVATE LIMITED,"3,124,805",0.17
14.,CITIGROUP GLOBAL MARKETS SINGAPORE SECURITIES PTE. LTD.,"3,039,512",0.16
15.,UOB KAY HIAN PRIVATE LIMITED,"3,033,529",0.16
16.,OCBC SECURITIES PRIVATE LIMITED,"2,573,219",0.14
17.,"SOCIETE GENERALE, SINGAPORE BRANCH","2,473,213",0.13
18.,LAU SAM SIONG,"2,173,000",0.12
19.,BPSS NOMINEES SINGAPORE (PTE.) LTD.,"2,061,893",0.11
20.,PHILLIP SECURITIES PTE LTD,"1,833,303",0.10
,TOTAL,"1,660,060,618",88.04
