NO.,NAME,,,UNITS,%
1.,KENT ASSETS PTE. LTD.,,,"718,661,000",22.84
2.,DBS NOMINEES (PRIVATE) LIMITED,,,"501,953,872",15.96
3.,CITIBANK NOMINEES SINGAPORE PTE LTD,,,"416,645,458",13.24
4.,HBSC (SINGAPORE) NOMINEES PTE LTD,,,"330,090,828",10.50
5.,SUFFOLK ASSETS PTE. LTD.,,,"133,086,000",4.23
6.,RAFFLES NOMINEES (PTE.) LIMITED,,,"128,443,823",4.08
7.,DBSN SERVICES PTE. LTD.,,,"121,803,221",3.87
8.,MAPLETREE NORTH ASIA COMMERCIAL TRUST MANAGEMENT LTD.,,,"114,220,408",3.63
9.,MAPLETREE NORTH ASIA PROPERTY MANAGEMENT LIMITED,,,"58,475,741",1.86
10.,ABN AMRO CLEARING BANK N.V.,,,"34,084,100",1.08
11.,UNITED OVERSEAS BANK NOMINEES (PRIVATE) LIMITED,,,"32,431,176",1.03
12.  MORGAN STANLEY ASIA (SINGAPORE) SECURITIES PTE LTD,,,,"32,425,807",1.03
13.,BPSS NOMINEES SINGAPORE (PTE.) LTD.,,,"28,668,551",0.91
14.,DB NOMINEES (SINGAPORE) PTE LTD,,,"26,527,951",0.84
15.,DBS VICKERS SECURITIES (SINGAPORE) PTE LTD,,,"25,249,300",0.81
16.  OCBC SECURITIES PRIVATE LIMITED,,,,"17,378,100",0.55
17.,UOB KAY HIAN PRIVATE LIMITED,,,"15,744,300",0.50
18.,NTUC FAIRPRICE CO-OPERATIVE LIMITED,,,"6,000,000",0.19
19.  OCBC NOMINEES SINGAPORE PRIVATE LIMITED,,,,"5,884,400",0.19
20.,BNP PARIBAS NOMINEES SINGAPORE PTE. LTD.,,,"5,370,000",0.17
,TOTAL,,,"2,753,144,036",87.51
156,,,,,
