,NAME OF HOLDERS,NO. OF SHARES,%
1,CITIBANK NOMINEES SINGAPORE PTE. LTD.,"522,738,200",46.32
2,UOB KAY HIAN PRIVATE LIMITED,"175,655,700",15.56
3,RAFFLES NOMINEES (PTE.) LIMITED,"23,342,200",2.07
4,CHONG CHOON MEOW,"21,743,760",1.93
5,PHILLIP SECURITIES PTE. LTD.,"19,689,800",1.74
6,DBS NOMINEES (PRIVATE) LIMITED,"15,510,500",1.37
7,BON WEEN FOONG,"14,989,652",1.33
8,YEO KHEE YEOW ANTHONY,"12,200,000",1.08
9,SUPER BEND PTE. LTD.,"11,800,000",1.05
10,UNITED OVERSEAS BANK NOMINEES (PRIVATE) LIMITED,"9,840,100",0.87
11,DBS VICKERS SECURITIES (SINGAPORE) PTE. LTD.,"8,827,300",0.78
12,NOVA FURNISHING HOLDINGS PTE. LTD.,"8,500,000",0.75
13,TAN SEOW LENG,"8,384,900",0.74
14,STEPHEN YEO MAH AI,"8,072,500",0.72
15,LIM CHYE HUAT @ BOBBY LIM CHYE HUAT,"7,435,000",0.66
16,XU YONGSHENG,"7,330,000",0.65
17,OCBC SECURITIES PRIVATE LIMITED,"6,534,300",0.58
18,NAI YIONG OO,"6,450,000",0.57
19,WEE BOO TEE,"5,000,000",0.44
20,YEE PENG WAH,"4,862,000",0.43
,TOTAL,"898,905,912",79.64
