NO.,NAME OF SHAREHOLDERS,NO. OF SHARES HELD,%
1,HONG LEONG FINANCE NOMINEES PTE LTD,"121,527,213",24.21
2,DB NOMINEES (S) PTE LTD,"50,308,000",10.02
3,PHUA CHIAN KIN,"26,372,202",5.25
4,LINCOLN CAPITAL PTE. LTD.,"25,967,321",5.17
5,SBS NOMINEES PTE LTD,"23,837,901",4.75
6,CGS-CIMB SECURITIES (SINGAPORE) PTE LTD,"23,761,222",4.73
7,RHB SECURITIES SINGAPORE PTE LTD,"19,122,022",3.81
8,KGI SECURITIES (SINGAPORE) PTE LTD,"17,460,400",3.48
9,PHILLIP SECURITIES PTE LTD,"16,661,339",3.32
10,UNITED OVERSEAS BANK NOMINEES PTE LTD,"14,650,048",2.92
11,CITIBANK NOMINEES SINGAPORE PTE LTD,"11,977,205",2.39
12,DBS NOMINEES PTE LTD,"11,723,278",2.34
13,TAY KUEK LEE,"9,845,340",1.96
14,CHENG SHAO SHIONG @BERTIE CHENG,"7,500,000",1.49
15,4 P INVESTMENTS PTE LTD,"6,680,924",1.33
16,MAYBANK KIM ENG SECURITIES PTE LTD,"6,579,085",1.31
17,SING INVEST & FINANCE NOMINEES PTE LTD,"5,500,000",1.10
18,LUM TUCK SENG,"5,254,160",1.05
19,RAFFLES NOMINEES (PTE) LTD,"4,340,958",0.87
20,DBS VICKERS SECURITIES (S) PTE LTD,"4,176,854",0.83
,TOTAL,"413,245,472",82.33
