NO.,NAME OF SHAREHOLDERS,NO. OF SHARES,%*
1.,PPB GROUP BERHAD,"1,172,614,755",18.53
2.,ARCHER DANIELS MIDLAND ASIA-PACIFIC LIMITED,"843,311,484",13.33
3.,CITIBANK NOMINEES SINGAPORE PTE LTD,"596,495,846",9.43
4.,DBS NOMINEES PTE LTD,"403,723,490",6.38
5.,ADM AG HOLDING LIMITED,"374,961,795",5.93
6.,GLOBAL COCOA HOLDINGS LTD,"356,399,775",5.63
7.,RAFFLES NOMINEES (PTE) LIMITED,"268,181,211",4.24
8.,HSBC (SINGAPORE) NOMINEES PTE LTD,"266,221,709",4.21
9.,KUOK (SINGAPORE) LIMITED,"256,951,112",4.06
10.,HARPOLE RESOURCES LIMITED,"256,211,778",4.05
11.,DBSN SERVICES PTE LTD,"247,938,123",3.92
12.,NOBLESPIRIT CORPORATION,"242,600,000",3.83
13.,DB NOMINEES (SINGAPORE) PTE LTD,"123,367,650",1.95
14.,UOB KAY HIAN PTE LTD,"93,351,309",1.48
15.,MORGAN STANLEY ASIA (SINGAPORE) SECURITIES PTE LTD,"80,959,018",1.28
16.,LONGHLIN ASIA LIMITED,"69,009,921",1.09
17.,UNITED OVERSEAS BANK NOMINEES PTE LTD,"60,274,393",0.95
18.,HONG LEE HOLDINGS (PTE) LTD,"36,204,971",0.57
19.,NATALON COMPANY LIMITED,"33,760,355",0.53
20.,KEFKONG LIMITED,"32,400,000",0.51
,TOTAL,"5,814,938,695",91.90
