NAME,,NO. OF SHARES,(%)2
YANLORD HOLDINGS PTE. LTD.,,"1,278,390,000",66.19
DBS NOMINEES (PRIVATE) LIMITED,,"171,047,702",8.86
CITIBANK NOMINEES SINGAPORE PTE LTD,,"114,387,325",5.92
UOB KAY HIAN PRIVATE LIMITED,,"78,798,500",4.08
DBSN SERVICES PTE. LTD.,,"46,725,889",2.42
MORGAN STANLEY ASIA (SINGAPORE) SECURITIES PTE LTD,,"36,543,305",1.89
BPSS NOMINEES SINGAPORE (PTE.) LTD.,,"30,280,000",1.57
RAFFLES NOMINEES (PTE.) LIMITED,,"23,386,158",1.21
HSBC (SINGAPORE) NOMINEES PTE LTD,,"17,281,044",0.89
DB NOMINEES (SINGAPORE) PTE LTD,,"12,520,000",0.65
WANG NANHUA,,"4,675,000",0.24
DBS VICKERS SECURITIES (SINGAPORE) PTE LTD,,"4,588,500",0.24
KHENG LEONG COMPANY (PRIVATE) LIMITED,,"4,416,700",0.23
OCBC SECURITIES PRIVATE LIMITED,,"4,347,100",0.23
UNITED OVERSEAS BANK NOMINEES (PRIVATE) LIMITED,,"3,234,062",0.17
ONG ENG LOKE,,"2,880,600",0.15
HEXACON CONSTRUCTION PTE LTD,,"2,571,971",0.13
TAN SHOOK YNG,,"2,210,000",0.11
MERRILL LYNCH (SINGAPORE) PTE. LTD.,,"1,950,181",0.10
PHILLIP SECURITIES PTE LTD,,"1,864,600",0.10
TOTAL,,"1,842,098,637",95.38
