NAME,SHARES,PERCENTAGE
CITIBANK NOMINEES SINGAPORE PRIVATE LIMITED,"728,788,077",24.89
DBS NOMINEES PRIVATE LIMITED,"619,081,474",21.14
ASCENDAS LAND SINGAPORE PRIVATE LIMITED,"517,001,996",17.65
HSBC SINGAPORE NOMINEES PRIVATE LIMITED,"312,400,261",10.67
DBSN SERVICES PRIVATE LIMITED,"262,591,633",8.97
RAFFLES NOMINEES PRIVATE LIMITED,"107,422,324",3.67
ASCENDAS FUNDS MANAGEMENT SINGAPORE LIMITED,"68,128,170",2.33
UNITED OVERSEAS BANK NOMINEES PRIVATE LIMITED,"55,875,675",1.91
BPSS NOMINEES SINGAPORE PRIVATE LIMITED,"34,681,594",1.18
DB NOMINEES SINGAPORE PRIVATE LIMITED,"22,648,027",0.77
SOCIETE GENERALE SINGAPORE BRANCH,"5,909,144",0.2
UOB KAY HIAN PRIVATE LIMITED,"5,347,550",0.18
OCBC NOMINEES SINGAPORE PRIVATE LIMITED,"3,160,417",0.11
DBS VICKERS SECURITIES SINGAPORE PRIVATE LIMITED,"3,052,501",0.1
PHILLIP SECURITIES PRIVATE LIMITED,"2,770,013",0.09
MERRILL LYNCH SINGAPORE PRIVATE LIMITED,"2,729,852",0.09
BNP PARIBAS NOMINEES SINGAPORE PRIVATE LIMITED,"2,632,020",0.09
MAYBANK KIM ENG SECURITIES PRIVATE LIMITED,"2,493,306",0.09
KGI SECURITIES SINGAPORE PRIVATE LIMITED,"2,346,450",0.08
OCBC SECURITIES PRIVATE LIMITED,"2,258,092",0.08
